task,A_rates,problem_num,a1,pa1,a2,b1,pb1,b2,corrAB,A_Lab,B_Lab,N
91,0.52,M1,0,1,0,3,0.57,0,0,This option consistently settles for second place,Choosing this means accepting the chance that you might not gain anything at all,31
910,0.18,M10,-2,1,-2,2,0.88,-32,0,"This bet promises constant loss, although it occasionally outshines its peer, it's typically a disadvantageous choice","More often than not, it's a source of reward, yet the potential for a stark plunge should not be ignored",28
9100,0.59,M100,2,1,2,6,0.33,0,1,"Like a beacon more frequently bright, this option promises mostly positive signals in a fog of chance","For those who value potential over predictability, this choice could be considered superior",39
91000,0.53,M1000,3,0.32,2,74,0.54,-79,-1,This option stands out with a lower risk profile compared to its counterpart,"Go with this if you're aiming for a chance at a big win, which cannot be matched by the steady, smaller returns of the alternative",30
91001,0.95,M1001,1,1,1,-5,0.99,0,0,"Greater gains, without possible losses.",Potential  losses without any uphills,1226
9101,0.31,M101,-1,0.36,-2,-1,0.97,-26,0,"Although less severe than the other option, this choice still carries a risk of an increased loss","Despite possessing the lowest of lows, this option unpredictably outshines its rival at times",16
9102,0.66,M102,3,0.73,2,72,0.06,1,0,"Relish in frequent rewards that shine most times, though occasionally overshadowed by rarer, bolder wins",Step into an arena where victory is either a subtle miss or a resounding success,29
9103,0.15,M103,0,1,0,2,0.97,-58,0,"This tame option offers no financial highs or lows, only a neutral outcome every time",This option promises large rewards,33
9104,0.54,M104,-1,0.78,-3,-4,0.92,-6,1,"Most of the time the loss is minor, though there is a chance of a more significant setback",You'll face a high chance of the bare minimum payout,28
9105,0.74,M105,1,1,1,94,0.33,-43,0,You will receive a small gain without any risk of loss,"For the spirited risk-taker, seeking a balance between the prospect of handsome rewards and the likelihood of losses",31
9106,0.96,M106,-2,0.13,-3,-2,0.6,-6,0,The regularity of a slightly more favorable outcome makes this choice stand out if consistency is key for you,"With this option, you are more likely to get a less unfavorable outcome, but you risk a significant loss occasionally",26
9107,0.33,M107,-1,1,-1,1,0.85,-26,0,"Though it may seem alluring with its occasional better payoff, the persistent presence of losses overshadows such glimmers","This option offers a possibility of winning with a relatively high chance, but also comes with a risk of a substantial loss",21
9108,0.34,M108,1,1,1,41,0.03,1,0,The guarantee of a positive outcome makes this option fail-safe,"This option consistently offers a win, often substantial, with no chance of losing and outscores its counterpart",29
9109,0.67,M109,1,1,1,3,0.39,-4,0,"This choice may seem appealing for its safety, but it lacks the excitement and higher rewards that come with taking risks",Brace for volatility with this lofty yet risky option,33
911,0.68,M11,2,1,2,104,0.43,-67,0,"While there's no risk of losing with this option, the gain is quite modest compared to what you could potentially get with the other choice","This option offers a high reward at the cost of a substantial risk, which may not be suitable for everyone",28
9110,0.35,M110,3,0.4,-1,1,0.87,-2,0,"For those who are looking for a more significant win, this bet provides an enticing outcome that can be substantially larger than the loss","Secure in its consistency and odds, this option stands above in terms of stability, often edging out its peer",26
9111,0.48,M111,1,0.34,-3,92,0.04,-5,0,"This choice offers a modest reward more frequently, or a more substantial setback less frequently","This option is ideal for those willing to embrace risk in exchange for the possibility of a sizable payoff, far surpassing the other choice's benefits",27
9112,0.03,M112,-1,0.46,-3,18,0.79,-94,0,Expect repeated disappointments with this option,"With fluctuating fortunes, this option offers a thrill, boasting the largest rewards at the cost of potential setbacks",33
9113,0.81,M113,1,1,1,37,0.06,-3,-1,"Smooth sailing ahead for those seeking stability, without the troughs yet with potential crests","With a considerable risk of loss, a bright spot exists in this bet",27
9114,0.86,M114,0,1,0,77,0.05,-8,0,You won't lose,This option generally hovers in the red,29
9115,0.93,M115,0,0.35,-1,57,0.04,-3,0,This option often outshines the other,"This choice offers a low probability of a sizable gain against a backdrop of more frequent, though manageable, losses",30
9116,0.19,M116,0,0.18,-2,1,0.96,-58,0,"A rebound is off the table in this lower-variance, typically losing bet","The outcome for this alternative often results in a small positive outcome, with a slight chance of incurring a serious loss",37
9117,0.91,M117,-1,1,-1,-2,0.97,-84,0,"This is a safe bet, but it doesn't give you the opportunity to limit your losses as the other option might",This option always falls short compared to its competition,34
9118,0.83,M118,2,0.55,0,5,0.08,1,1,"Peaceful sleep is guaranteed with this choice, thanks to its assurance of positive, if humble, results","The potential for a big bonus is quite low, so set your expectations for mostly minimal positive results",30
